id;name;type;status;depends;url;des
js;JavaScript;language;7;;;
python;Python;language;7;;;
rust;Rust;language;4;;;
unit;Unit Testing;method;4;;;
cs_os;Introduction to Operating Systems;course;1;c;/docs/courses/operating_systems;
react;React;library;4;js;;
vue;Vue;library;8;js;;
cypress;Cypress;library;0;js;;
jest;Jest;library;3;js,unit;;
flask;Flask;library;5;python;;
falcon;Falcon;library;8;python;;
maliyet;Ön Maliyet;project;8;falcon,sqlite,vue;;
paxdict;PaxDict;project;6;nginx,salt,postgrest,postgresql;;
nginx;Nginx;library;3;;;
salt;SaltStack;library;3;;;
postgrest;PostgREST;library;6;;;
postgresql;PostgreSQL;database;5;;;
sqlite;SQLite;database;7;;;
blog;c6p - log;project;9;hugo,js,netlify;;
netlify;Netlify;stack;5;;;
hugo;Hugo;library;8;;;
c;C;language;5;;;
cpp;C;language;5;;;
paper;Paper.js;library;5;js;;
phaser;Phaser;library;7;js;;
dotslice;Dot-Slice;project;9;phaser,paper;;
frog;Swinging Frog;project;9;phaser;;
sml;Standard ML;language;4;;;
racket;Racket;language;4;;;
ruby;Ruby;language;4;;;
cs_pla;Introduction to Programming Languages, Part A;course;9;sml;;
cs_plb;Introduction to Programming Languages, Part B;course;9;racket;;
cs_plc;Introduction to Programming Languages, Part C;course;9;ruby;;
java;Java;language;5;;;
celik;Çelik Anahtar;project;8;java,sqlite,android;;
android;Android;stack;4;;;
